id,title,artist,genre,image_url
76,Sex 'n' Blood,Marc Behrens,lofi,https://i.scdn.co/image/ab67616d00001e02430c184dd24585614a6f6e89
77,Karashiru,Sarah rosen,lofi,https://i.scdn.co/image/ab67616d00001e02568c733f0ef3772013c1a98f
78,Murrieta,Oatmello,lofi,https://i.scdn.co/image/ab67616d00001e027ce2565ecb49ab9bda77f0fb
79,Jardim da Tarde,Lê Almeida,lofi,https://i.scdn.co/image/ab67616d00001e0246610263567472408db2971c
80,In the Hood,Scvrs10x,lofi,https://i.scdn.co/image/ab67616d00001e02569a457ca904abf7570f6900
81,Bring Me To Life,Evanescence,rock,https://i.scdn.co/image/ab67616d00001e0225f49ab23f0ec6332efef432
82,Smells Like Teen Spirit,Nirvana,rock,https://i.scdn.co/image/ab67616d00001e02e175a19e530c898d167d39bf
83,Creep,Radiohead,rock,https://i.scdn.co/image/ab67616d00001e02ec548c00d3ac2f10be73366d
84,Freakin’ Out,Dexter and The Moonrocks,rock,https://i.scdn.co/image/ab67616d00001e02b7129146f87f5f22b8154bee
85,Mr. Brightside,The Killers,rock,https://i.scdn.co/image/ab67616d00001e02ccdddd46119a4ff53eaf1f5d
86,The Less I Know The Better,Tame Impala,rock,https://i.scdn.co/image/ab67616d00001e029e1cfc756886ac782e363d79
87,Everlong,Foo Fighters,rock,https://i.scdn.co/image/ab67616d00001e024bc9bcdbdc9ac34e37d8b6bb
88,Scar Tissue,Red Hot Chili Peppers,rock,https://i.scdn.co/image/ab67616d00001e0294d08ab63e57b0cae74e8595
89,Thunderstruck,AC/DC,rock,https://i.scdn.co/image/ab67616d00001e029a9b1cc067e4460da04adce2
90,Jane!,The Long Faces,rock,https://i.scdn.co/image/ab67616d00001e026685599bd4bafe725e532e2f
91,Sweet Child O' Mine,Guns N' Roses,rock,https://i.scdn.co/image/ab67616d00001e0221ebf49b3292c3f0f575f0f5
92,In the End,Linkin Park,rock,https://i.scdn.co/image/ab67616d00001e02e2f039481babe23658fc719a
93,Numb,Linkin Park,rock,https://i.scdn.co/image/ab67616d00001e025f1f51d14e8bea89484ecd1b
94,Come As You Are,Nirvana,rock,https://i.scdn.co/image/ab67616d00001e02e175a19e530c898d167d39bf
95,Sweet Home Alabama,Lynyrd Skynyrd,rock,https://i.scdn.co/image/ab67616d00001e0217e1907923e91181f38290ac
96,Can't Stop,Red Hot Chili Peppers,rock,https://i.scdn.co/image/ab67616d00001e02de1af2785a83cc660155a0c4
97,Have You Ever Seen The Rain,Creedence Clearwater Revival,rock,https://i.scdn.co/image/ab67616d00001e0251f311c2fb06ad2789e3ff91
